Cargo Dist Transported Relative to Start Year (dimensionless),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
LDVs,1,1.040785757,1.080073583,1.117863478,1.154155443,1.188949478,1.222245582,1.254043755,1.284343998,1.313146311,1.340450693,1.366257145,1.390565666,1.413376256,1.434688917,1.454503646,1.472820445,1.489639314,1.504960252,1.51878326,1.531108337,1.541935484,1.5512647,1.559095986,1.565429341,1.570264766,1.57360226,1.575441824,1.575783457,1.57462716,1.571972932,1.567820774,1.562170685,1.555022666,1.546376716,1.536232836,1.524591026,1.511451284,1.496813613,1.480678011,1.463044478
HDVs,1,1.040785757,1.080073583,1.117863478,1.154155443,1.188949478,1.222245582,1.254043755,1.284343998,1.313146311,1.340450693,1.366257145,1.390565666,1.413376256,1.434688917,1.454503646,1.472820445,1.489639314,1.504960252,1.51878326,1.531108337,1.541935484,1.5512647,1.559095986,1.565429341,1.570264766,1.57360226,1.575441824,1.575783457,1.57462716,1.571972932,1.567820774,1.562170685,1.555022666,1.546376716,1.536232836,1.524591026,1.511451284,1.496813613,1.480678011,1.463044478
aircraft,1,1.164980545,1.325291829,1.480933852,1.631906615,1.778210117,1.919844358,2.056809339,2.189105058,2.316731518,2.439688716,2.557976654,2.671595331,2.780544747,2.884824903,2.984435798,3.079377432,3.169649805,3.255252918,3.33618677,3.412451362,3.484046693,3.550972763,3.613229572,3.670817121,3.723735409,3.771984436,3.815564202,3.854474708,3.888715953,3.918287938,3.943190661,3.963424125,3.978988327,3.989883268,3.996108949,3.99766537,3.994552529,3.986770428,3.974319066,3.957198444
rail,1,1.060358644,1.116846593,1.169463848,1.218210409,1.263086274,1.304091445,1.341225922,1.374489703,1.403882791,1.429405183,1.451056881,1.468837884,1.482748193,1.492787807,1.498956727,1.501254952,1.499682482,1.494239318,1.484925459,1.471740905,1.454685657,1.433759715,1.408963077,1.380295745,1.347757719,1.311348998,1.271069582,1.226919471,1.178898666,1.127007167,1.071244973,1.011612084,0.9481085,0.880734222,0.80948925,0.734373583,0.655387221,0.572530164,0.485802413,0.395203967
ships,1,1.037675523,1.072284651,1.103827384,1.132303723,1.157713666,1.180057214,1.199334368,1.215545126,1.22868949,1.238767459,1.245779033,1.249724211,1.250602995,1.248415384,1.243161378,1.234840978,1.223454182,1.209000991,1.191481405,1.170895425,1.147243049,1.120524279,1.090739113,1.057887553,1.021969598,0.982985248,0.940934503,0.895817363,0.847633828,0.796383898,0.742067573,0.684684853,0.624235738,0.560720229,0.494138324,0.424490025,0.35177533,0.275994241,0.197146757,0.115232878
motorbikes,1,1.040785757,1.080073583,1.117863478,1.154155443,1.188949478,1.222245582,1.254043755,1.284343998,1.313146311,1.340450693,1.366257145,1.390565666,1.413376256,1.434688917,1.454503646,1.472820445,1.489639314,1.504960252,1.51878326,1.531108337,1.541935484,1.5512647,1.559095986,1.565429341,1.570264766,1.57360226,1.575441824,1.575783457,1.57462716,1.571972932,1.567820774,1.562170685,1.555022666,1.546376716,1.536232836,1.524591026,1.511451284,1.496813613,1.480678011,1.463044478
