Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-30,-20,51512704441,68861497096,86464531948,1.04448E+11,1.17831E+11,1.29605E+11,1.37855E+11,1.38658E+11,1.39431E+11,1.40282E+11,1.41116E+11,1.11968E+11,83299278925,55108734960,27348564443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-10,90492926736,68830651534,50295839964,33090203976,15777058840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,34198435438,33345803064,33297996535,33659527579,32858762644,32024984979,26854246177,19967394652,13196497909,6545946142,0,0,0,0,0,0,11685963644,23205732631,34560870295,45749311694,56787736670,56895966204,56998134969,57104165914,57207217851,57314845805,57358616799,57400831122,57450784051,57497949863,57554632519,57520246575,57482792555,57451692939,57416447559,57385322230
0,0,0,0,0,0,0,0,7383549196,14640042623,21770186560,28796825684,35712038056,35961525347,36209272620,36466282284,36723479790,36967646778,29351290358,21856932937,14467586499,7181699838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,10,3.59482E+11,3.38138E+11,3.25892E+11,3.18105E+11,2.99994E+11,2.82571E+11,2.91911E+11,2.85162E+11,2.78496E+11,2.72121E+11,2.6584E+11,2.59103E+11,2.5249E+11,2.46073E+11,2.3978E+11,2.33522E+11,2.42819E+11,2.52071E+11,2.61177E+11,2.70118E+11,2.7898E+11,2.73426E+11,2.67925E+11,2.62522E+11,2.57183E+11,2.5194E+11,2.46857E+11,2.41833E+11,2.36907E+11,2.32033E+11,2.27258E+11,2.06894E+11,1.86762E+11,1.66887E+11,1.47233E+11,1.27819E+11
10,20,5.19829E+11,4.93119E+11,4.79348E+11,4.71975E+11,4.49037E+11,4.26747E+11,4.44799E+11,4.38487E+11,4.32231E+11,4.26361E+11,4.20572E+11,3.81874E+11,3.43826E+11,3.06499E+11,2.69767E+11,2.33522E+11,2.34936E+11,2.36417E+11,2.37863E+11,2.39256E+11,2.40671E+11,2.35045E+11,2.29475E+11,2.24E+11,2.18592E+11,2.13276E+11,2.08163E+11,2.03111E+11,1.98151E+11,1.93245E+11,1.88432E+11,1.9175E+11,1.95016E+11,1.98264E+11,2.01458E+11,2.04627E+11
20,30,3.59482E+11,3.38138E+11,3.25892E+11,3.18105E+11,2.99994E+11,2.82571E+11,2.91911E+11,2.85162E+11,2.78496E+11,2.72121E+11,2.6584E+11,2.90953E+11,3.15677E+11,3.4013E+11,3.64252E+11,3.8792E+11,3.49766E+11,3.12298E+11,2.75344E+11,2.38879E+11,2.02971E+11,1.97273E+11,1.91635E+11,1.8609E+11,1.80613E+11,1.75226E+11,1.70084E+11,1.65004E+11,1.60011E+11,1.55073E+11,1.50223E+11,1.53437E+11,1.56604E+11,1.59749E+11,1.62845E+11,1.65915E+11
30,40,3.59482E+11,3.38138E+11,3.25892E+11,3.18105E+11,2.99994E+11,2.82571E+11,2.91911E+11,2.85162E+11,2.78496E+11,2.72121E+11,2.6584E+11,2.59103E+11,2.5249E+11,2.46073E+11,2.3978E+11,2.33522E+11,2.27178E+11,2.21011E+11,2.14919E+11,2.08884E+11,2.02971E+11,1.97273E+11,1.91635E+11,1.8609E+11,1.80613E+11,1.75226E+11,1.70084E+11,1.65004E+11,1.60011E+11,1.55073E+11,1.50223E+11,1.45635E+11,1.41094E+11,1.36621E+11,1.32189E+11,1.27819E+11
40,50,3.59482E+11,3.38138E+11,3.25892E+11,3.18105E+11,2.99994E+11,2.82571E+11,2.98003E+11,2.97243E+11,2.9646E+11,2.95884E+11,2.95309E+11,2.88787E+11,2.82388E+11,2.76192E+11,2.7012E+11,2.64072E+11,2.57853E+11,2.5182E+11,2.45858E+11,2.39949E+11,2.34164E+11,2.28532E+11,2.22957E+11,2.17477E+11,2.12063E+11,2.06741E+11,1.70832E+11,1.35376E+11,1.00381E+11,65812939048,31673616165,31658469467,31641588929,31628161920,31612409170,31598882102
50,60,4.54638E+11,4.16557E+11,3.90551E+11,3.70326E+11,3.38739E+11,3.08951E+11,3.14031E+11,3.0161E+11,2.89366E+11,2.77514E+11,2.6584E+11,2.59103E+11,2.5249E+11,2.46073E+11,2.3978E+11,2.33522E+11,2.89706E+11,3.45177E+11,3.99842E+11,4.53673E+11,5.06823E+11,4.99666E+11,4.92565E+11,4.85604E+11,4.78721E+11,4.71977E+11,4.36769E+11,4.01999E+11,3.6772E+11,3.33849E+11,3.00445E+11,2.9127E+11,2.82187E+11,2.73241E+11,2.64379E+11,2.55637E+11
60,70,56230700127,68656552042,81694754007,95230705761,1.04741E+11,1.1304E+11,1.06974E+11,94640854617,82508709865,70630530362,58937686403,59367969979,59795082977,60237210349,60679383397,61099766491,61349538506,61618370500,61879902303,62129301579,62386094194,62518372812,62643812292,62773321099,62899384369,63030312804,1.22126E+11,1.8047E+11,2.38112E+11,2.95038E+11,3.51327E+11,2.92321E+11,2.34004E+11,1.76402E+11,1.19463E+11,63197764204
70,80,0,0,0,0,0,0,13375429094,26520694427,39437075443,52165955668,64692984376,51330438747,38187474943,25263885386,12537594958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56837773435,1.12992E+11,1.68493E+11,2.23328E+11,2.77535E+11
80,90,0,70215841049,1.36821E+11,2.02537E+11,2.57513E+11,3.06615E+11,2.57109E+11,1.91173E+11,1.26347E+11,62672549017,0,13316476852,26418249471,39324730487,52041353116,64553328801,51253559865,38166826980,25263465480,12540766626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,100,4.14264E+11,3.21138E+11,2.42019E+11,1.68908E+11,94380501401,26379959096,28213417224,28528417020,28834671303,29154647364,29468843202,29683984989,29897541489,30118605175,30339691698,30549883245,24255763396,18062462924,11955943018,5934921767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,150,2.84229E+11,2.6989E+11,2.62614E+11,2.58831E+11,2.46497E+11,2.34496E+11,2.76854E+11,3.05267E+11,3.33155E+11,3.608E+11,3.88001E+11,3.88197E+11,3.88415E+11,3.8877E+11,3.89164E+11,3.89454E+11,3.8754E+11,3.85797E+11,3.84057E+11,3.8229E+11,3.80615E+11,3.77742E+11,3.74877E+11,3.72084E+11,3.69318E+11,3.66626E+11,3.10912E+11,2.55899E+11,2.01608E+11,1.47978E+11,95020848494,94975408400,94924766786,94884485760,94837227511,94796646306
150,200,0,0,0,0,0,0,35915253254,71212478506,1.05895E+11,1.40074E+11,1.73711E+11,1.69875E+11,1.66111E+11,1.62466E+11,1.58894E+11,1.55337E+11,2.18166E+11,2.8016E+11,3.41259E+11,4.01439E+11,4.6084E+11,4.55977E+11,4.51141E+11,4.46412E+11,4.41732E+11,4.3716E+11,4.18509E+11,4.00088E+11,3.81955E+11,3.64029E+11,3.46385E+11,3.40934E+11,3.35529E+11,3.30222E+11,3.24951E+11,3.19763E+11
200,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31313739427,62182143207,92609400455,1.2259E+11,1.52169E+11,1.48379E+11,1.44628E+11,1.4094E+11,1.37298E+11,1.33716E+11,1.72887E+11,2.11558E+11,2.49776E+11,2.87516E+11,3.24851E+11,3.22569E+11,3.20295E+11,3.18081E+11,3.15868E+11,3.13701E+11
250,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217560323,2418660486,3603962370,4773534779,5928367203,29627316524,53025321566,76139141118,98966014532,1.21535E+11,96645502602,72048376952,47750132533,23733790406,0
300,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220400376,2425308667,3615538527,4791003841,5953111278,27158097205,48107768652,68814135629,89271673508,1.09496E+11
350,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215612574,2416609446,3603623135,4776399235,5935760924
400,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
