Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-300,-250,1.81723E+11,1.38222E+11,1.01001E+11,66450031890,31682671519,0,1493844937,2961983861,4404559665,5826194302,7225284999,5732878961,4264997086,2821616190,1400270797,0,4915857586,9761803158,14538494352,19245062523,23888524271,23749248499,23609921542,23474617161,23340447075,23210439218,18490930588,13830927269,9231035146,4687325950,199322074,198559710,197794455,197058606,196315933.8,195594628.8
-250,-200,42105617395,32801571150,24912847986,17632751271,10184063855,3385251766,3512317820,3446387370,3381186454,3319263404,3258231701,8337692742,13335464859,18259923478,23112303838,27885784252,22140542387,16487327958,10913326406,5417367609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,13624686710,14413186460,15464321467,16664234241,17228536991,17685307416,31737384483,44550820453,57138963854,69556550964,81776749578,68687108215,55813740488,43161925950,30705311097,18428798397,14948053985,11523632032,8147106105,4817647052,1536068493,1524477255,1512918355,1501652312,1490493254,1479633740,1465410416,1451341804,1437657633,1424087257,1410930616,1395983656,1381131059,1366596477,1352125452,1337911069
-150,-100,74209659388,78289246038,83810391473,90144613066,93049758275,95387204304,80002557659,59506142744,39354819203,19561714459,79930745.15,430387763.6,775199401.8,1114900364,1449613101,1778919449,2047745678,2313407085,2575171185,2832851067,3087388552,3077792032,3068075288,3058769386,3049501516,3040669843,3032180605,3023746026,3015852030,3007940968,3000653131,2989639150,2978576082,2967950378,2957216533,2946799247
-100,-90,0,0,0,0,0,0,4593305.566,9107569.745,13543231.91,17914503.74,22216456.99,17627575.79,13114101.98,8675964.304,4305581.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,4021896.999,7837000.264,11601115.7,14750104.31,17562636.29,14726981.41,10950203.11,7237014.89,3589824.363,0,0,0,0,0,0,9042615.567,17956629.47,26743251.41,35400883.55,43942432.76,43702639.11,43462529.58,43229606.69,42998558.41,42774967.92,42529011.8,42285430.82,42050976.44,41817812.8,41594801.4,41311609.92,41029307.25,40754568.6,40479859.56,40210978.91
-80,-70,85908091564,65343338177,47747595097,31413684755,14977712230,0,4213232271,8353963438,12422596522,16432167248,20378155167,16168981160,12028974970,7958071211,3949316266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,4365863984,8507248496,12593284523,16011585870,19064655628,16356131341,12619634543,8945840796,5338507289,1787867699,5957687128,10060389992,14102587623,18085521935,22003914269,17553157335,13173841220,8855865362,4598291842,401671395,399455166.1,397236378.5,395083598.3,392948267.7,390881402,388620260,386380994.6,384225292.1,382081548.8,380030726.1,4877178337,9320232306,13711594961,18050255752,22339314755
-60,-50,0,657090262,1280394937,1895369314,2409845380,2869351772,2501154025,1977560990,1462730043,957348728.3,459904824.2,374824672.9,291145680.5,208880824.8,127877218.4,48062686.8,5225794425,10329907631,15361074214,20318375488,25209216914,25152105354,25093724910,25038423412,24983157976,24931196973,24860902670,24791065266,24725668524,24660140197,24599729377,20010697626,15475353232,10995343350,6567137371,2191170620
-50,-40,1.17865E+11,1.0866E+11,1.02552E+11,97933212698,90267390500,83011975592,69608901601,51757491176,34206647187,16967749453,0,94216786.49,186914496.8,278230479.2,368203174.9,456727951.7,362629377.1,270038076,178744164.8,88728478.62,0,70347321267,1.39744E+11,2.08227E+11,2.75802E+11,3.42525E+11,3.41095E+11,3.39677E+11,3.38326E+11,3.36979E+11,3.35707E+11,3.3708E+11,3.38416E+11,3.39771E+11,3.41084E+11,3.42403E+11
-40,-30,4.20546E+11,3.87503E+11,3.65516E+11,3.4885E+11,3.2134E+11,2.95312E+11,2.66935E+11,2.22402E+11,1.78607E+11,1.35651E+11,93368597944,1.62996E+11,2.31507E+11,2.9903E+11,3.65571E+11,4.31017E+11,4.38322E+11,4.45682E+11,4.52913E+11,4.59979E+11,4.67026E+11,3.9426E+11,3.2244E+11,2.51607E+11,1.81701E+11,1.12725E+11,1.12033E+11,1.11348E+11,1.10687E+11,1.10031E+11,1.09401E+11,1.21285E+11,1.3302E+11,1.44629E+11,1.5609E+11,1.67427E+11
-30,-20,13849767715,53422264944,91268250530,1.28774E+11,1.59704E+11,1.87281E+11,2.77155E+11,3.54926E+11,4.3132E+11,5.06734E+11,5.80947E+11,5.04822E+11,4.29962E+11,3.56429E+11,2.84042E+11,2.12675E+11,2.27321E+11,2.41837E+11,2.56134E+11,2.70192E+11,2.84099E+11,2.79368E+11,2.74678E+11,2.70075E+11,2.65526E+11,2.61064E+11,2.56738E+11,2.52462E+11,2.48276E+11,2.44133E+11,2.40082E+11,2.20733E+11,2.01603E+11,1.82721E+11,1.64046E+11,1.456E+11
-20,-10,52944875615,47892694839,44278415092,41345172818,37183316480,33282569578,35774854681,36348278259,36907603453,37481730455,38045862203,61013123407,83612510526,1.05889E+11,1.27842E+11,1.49432E+11,1.30843E+11,1.12575E+11,94558591071,76786686085,59279329956,58117065360,56965714045,55834941094,54717533094,53620340184,52507193123,51407240140,50328407894,49260930582,48214988810,47163732833,46122199896,45097751442,44081805190,43080593252
-10,0,6.82368E+11,6.03394E+11,5.43664E+11,4.92887E+11,4.28395E+11,3.68429E+11,3.63453E+11,3.37796E+11,3.12541E+11,2.87906E+11,2.63652E+11,2.27908E+11,1.92758E+11,1.58228E+11,1.24235E+11,90723039936,89018384071,87371546696,85743109661,84126264498,82547041404,80918132778,79304562190,77719782689,76153748934,74615991325,73412175997,72222339017,71057740960,69904767756,68777984226,67267603747,65771222643,64299336298,62839704469,61401209872
0,0,6106518454,6182382925,6390229368,6668275779,6703892652,6714531773,7551349797,7995302835,8430695831,8864392647,9291032273,8813014252,8343297243,7883952218,7432396778,6985794909,6854530097,6727717444,6602321698,6477818600,6356212503,6230801261,6106570842,5984557154,5863986696,5745593332,5269470058,4799290470,4335666021,3877575453,3425698342,3350473441,3275945770,3202638087,3129940729,3058296128
0.1,10,1.04427E+12,9.03039E+11,7.92305E+11,6.9553E+11,5.80883E+11,4.74864E+11,4.24552E+11,3.48341E+11,2.73397E+11,1.99868E+11,1.27493E+11,1.07284E+11,87409420604,67877154448,48646381834,29693344738,29135425778,28596430486,28063457434,27534278231,27017412488,26484272610,25956152866,25437456397,24924895394,24421589125,23911057632,23406580427,22911765373,22422164847,21942411561,21460572626,20983199688,20513641126,20047991902,19589085903
10,20,71975031147,98079483573,1.24443E+11,1.51315E+11,1.71473E+11,1.89228E+11,2.54681E+11,3.08342E+11,3.61045E+11,4.13114E+11,4.64351E+11,4.53651E+11,4.43153E+11,4.3298E+11,4.23009E+11,4.13082E+11,4.05327E+11,3.97835E+11,3.90427E+11,3.83072E+11,3.75887E+11,3.68488E+11,3.61158E+11,3.53958E+11,3.46844E+11,3.39859E+11,3.32773E+11,3.25771E+11,3.18903E+11,3.12107E+11,3.05449E+11,2.98761E+11,2.92135E+11,2.85617E+11,2.79154E+11,2.72785E+11
20,30,5.24738E+11,4.45206E+11,3.81441E+11,3.24798E+11,2.60485E+11,2.01223E+11,1.89079E+11,1.65802E+11,1.42905E+11,1.20479E+11,98403839477,96229935851,94097371940,92032293405,90008528045,87992830597,86339500117,84742247779,83162841681,81594678244,80063004354,78483084497,76918041514,75380923600,73861987702,72370477405,70857615135,69362693556,67896404164,66445566961,65023910474,63595969428,62181263648,60789715651,59409753300,58049774468
30,40,1.68284E+11,1.28E+11,93531896594,61535696367,29339568384,0,18145920849,35979587538,53502735837,70771509157,87766438427,84323717480,80942113761,77642754352,74401682686,71190917350,69853271222,68560995505,67283158538,66014417674,64775198977,63496980363,62230797653,60987207541,59758327382,58551635740,46542924830,34685633044,22981220090,11419783622,0,0,0,0,0,0
40,50,0,48118122322,93762156858,1.38796E+11,1.76471E+11,2.1012E+11,2.0147E+11,1.81126E+11,1.6111E+11,1.41529E+11,1.22253E+11,1.19885E+11,1.17563E+11,1.15321E+11,1.13124E+11,1.10933E+11,1.08849E+11,1.06835E+11,1.04844E+11,1.02867E+11,1.00936E+11,98943934553,96970904486,95033079322,93118175963,91237847845,1.00115E+11,1.08878E+11,1.17548E+11,1.26106E+11,1.34584E+11,1.16641E+11,98905096397,81389916899,64074255958,46965345944
50,60,0,0,0,0,0,0,13201568297,26175964623,38924451788,51487875397,63852071258,50663218959,37691094247,24935492240,12374624766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14987618081,29795035204,44430049850,58889525391,73183611020
60,70,2.46304E+11,1.97693E+11,1.57062E+11,1.19917E+11,80897129470,45192289097,37895563651,28177133329,18622333437,9237359226,0,9919824169,19679709019,29294115573,38767091189,48087619447,47184066260,46311159722,45448006297,44590997166,43753929595,42890534785,42035269802,41195265415,40365197110,39550116462,31438542651,23429248545,15523220137,7713768650,0,0,0,0,0,0
70,80,2.83929E+11,2.99985E+11,3.21534E+11,3.46188E+11,3.57653E+11,3.66909E+11,3.90768E+11,3.93535E+11,3.96209E+11,3.99097E+11,4.01929E+11,3.9515E+11,3.88506E+11,3.82107E+11,3.75847E+11,3.69588E+11,3.39085E+11,3.09153E+11,2.79628E+11,2.50486E+11,2.218E+11,2.06374E+11,1.91139E+11,1.76125E+11,1.61304E+11,1.46693E+11,1.40693E+11,1.34768E+11,1.28935E+11,1.23169E+11,1.17495E+11,1.05359E+11,93362344747,81517282719,69805070951,58234413305
80,90,0,16844620212,32823141185,48588113547,61776794682,73556318904,76744991551,75732786524,74729113815,73790668179,72865135281,71755973853,70669352793,69625361889,68604825628,67582570991,89871077702,1.11868E+11,1.33546E+11,1.54897E+11,1.75973E+11,1.8355E+11,1.91009E+11,1.98386E+11,2.05661E+11,2.12862E+11,2.08392E+11,2.03975E+11,1.99642E+11,1.95355E+11,1.91154E+11,1.96512E+11,2.01793E+11,2.07033E+11,2.12195E+11,2.1731E+11
90,100,1.9017E+11,1.44647E+11,1.05696E+11,69538786964,33155357230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807962837.7,1605002851,2391559258,3167677717,3934014846,14149905017,24236043263,34199876644,44039962049,53768915654,52646609530,51534544744,50440956751,49356264197,48287450964
100,150,79568744832,90996192712,1.03607E+11,1.16999E+11,1.25637E+11,1.33075E+11,1.37903E+11,1.35147E+11,1.32423E+11,1.29829E+11,1.27273E+11,1.24933E+11,1.22639E+11,1.20426E+11,1.18259E+11,1.16095E+11,1.14099E+11,1.12174E+11,1.1027E+11,1.08378E+11,1.06532E+11,1.03694E+11,1.00885E+11,98122560881,95394079848,92711006457,90786767810,88885336717,87020418861,85175128881,83367069803,81396798932,79445174346,77524845100,75621003769,73744322785
150,200,3.71964E+11,2.82923E+11,2.06737E+11,1.36015E+11,64850372654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153891103.3,305931924.3,456202536.9,604670734.6,751440728
200,250,88896863683,1.41146E+11,1.92687E+11,2.44601E+11,2.85163E+11,3.21084E+11,2.69242E+11,2.00194E+11,1.32309E+11,65629972093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,300,60406313215,45946197623,33573742963,22088546562,10531585090,0,65097498889,1.29075E+11,1.91938E+11,2.53889E+11,3.14857E+11,3.05867E+11,2.97041E+11,2.88461E+11,2.80043E+11,2.71681E+11,2.15707E+11,1.6063E+11,1.06325E+11,52779444301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,350,0,5021853914,9785499344,14485479942,18417395838,21929202520,28888764909,34492526414,39996005052,45434694728,50786551987,50360165290,49943899308,49552261902,49172029310,48785271075,98737683075,1.47998E+11,1.96551E+11,2.44385E+11,2.91586E+11,2.85832E+11,2.80132E+11,2.74534E+11,2.69003E+11,2.63571E+11,2.5067E+11,2.37929E+11,2.25381E+11,2.12979E+11,2.00764E+11,1.96355E+11,1.91987E+11,1.8769E+11,1.8343E+11,1.79231E+11
