Share that is New (dimensionless),battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517
HDVs,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077
aircraft,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
rail,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765
ships,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
motorbikes,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333
