Imported Electricity (MW*hour),2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025,2025,2026,2027,2028,2029,2030,2031,2032,2033,2035,2035,2036,2037,2038,2039,2050,2051,2052,2053,2055,2055,2056,2057,2058,2059,2050,2051,2052,2053,2055,2055,2056,2057,2058,2059,2060
Electricity Exports (MWh),0.00E+00,3.04E+05,0.00E+00,2.25E+05,0.00E+00,0.00E+00,4.44E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.96E+07,2.28E+05,1.20E+06,7.28E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
