Number of Vehicles,battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,2647 ,20948 ,657748 ,1150753 ,23 ,0 ,0 
HDVs,2036 ,32578 ,1180 ,953778 ,60 ,0 ,20 
aircraft,0 ,0 ,0 ,5 ,0 ,0 ,0 
rail,38309 ,0 ,0 ,14313 ,0 ,0 ,0 
ships,0 ,0 ,0 ,4944 ,0 ,0 ,0 
motorbikes,0 ,0 ,0 ,0 ,0 ,0 ,0 
