Fuel Price ($/BTU),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Transportation Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Electricity Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Residential Buildings Sector,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06
Commercial Buildings Sector,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05
Industry Sector,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05
District Heating Sector,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06,7.83E-06
LULUCF Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Geoengineering Sector,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05,1.12E-05
