Fuel Price ($/BTU),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Transportation Sector,5.45E-06,5.19E-06,4.94E-06,4.70E-06,4.48E-06,4.26E-06,4.06E-06,3.86E-06,3.68E-06,3.50E-06,3.34E-06,3.18E-06,3.02E-06,2.88E-06,2.74E-06,2.61E-06,2.49E-06,2.37E-06,2.25E-06,2.15E-06,2.04E-06,1.95E-06,1.85E-06,1.76E-06,1.68E-06,1.60E-06,1.52E-06,1.45E-06,1.38E-06,1.32E-06,1.25E-06,1.19E-06,1.14E-06,1.08E-06,1.03E-06,9.80E-07,9.33E-07,8.89E-07,8.46E-07,8.06E-07,7.67E-07
Electricity Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Residential Buildings Sector,5.45E-06,5.19E-06,4.94E-06,4.70E-06,4.48E-06,4.26E-06,4.06E-06,3.86E-06,3.68E-06,3.50E-06,3.34E-06,3.18E-06,3.02E-06,2.88E-06,2.74E-06,2.61E-06,2.49E-06,2.37E-06,2.25E-06,2.15E-06,2.04E-06,1.95E-06,1.85E-06,1.76E-06,1.68E-06,1.60E-06,1.52E-06,1.45E-06,1.38E-06,1.32E-06,1.25E-06,1.19E-06,1.14E-06,1.08E-06,1.03E-06,9.80E-07,9.33E-07,8.89E-07,8.46E-07,8.06E-07,7.67E-07
Commercial Buildings Sector,5.45E-06,5.19E-06,4.94E-06,4.70E-06,4.48E-06,4.26E-06,4.06E-06,3.86E-06,3.68E-06,3.50E-06,3.34E-06,3.18E-06,3.02E-06,2.88E-06,2.74E-06,2.61E-06,2.49E-06,2.37E-06,2.25E-06,2.15E-06,2.04E-06,1.95E-06,1.85E-06,1.76E-06,1.68E-06,1.60E-06,1.52E-06,1.45E-06,1.38E-06,1.32E-06,1.25E-06,1.19E-06,1.14E-06,1.08E-06,1.03E-06,9.80E-07,9.33E-07,8.89E-07,8.46E-07,8.06E-07,7.67E-07
Industry Sector,5.45E-06,5.19E-06,4.94E-06,4.70E-06,4.48E-06,4.26E-06,4.06E-06,3.86E-06,3.68E-06,3.50E-06,3.34E-06,3.18E-06,3.02E-06,2.88E-06,2.74E-06,2.61E-06,2.49E-06,2.37E-06,2.25E-06,2.15E-06,2.04E-06,1.95E-06,1.85E-06,1.76E-06,1.68E-06,1.60E-06,1.52E-06,1.45E-06,1.38E-06,1.32E-06,1.25E-06,1.19E-06,1.14E-06,1.08E-06,1.03E-06,9.80E-07,9.33E-07,8.89E-07,8.46E-07,8.06E-07,7.67E-07
District Heating Sector,5.45E-06,5.19E-06,4.94E-06,4.70E-06,4.48E-06,4.26E-06,4.06E-06,3.86E-06,3.68E-06,3.50E-06,3.34E-06,3.18E-06,3.02E-06,2.88E-06,2.74E-06,2.61E-06,2.49E-06,2.37E-06,2.25E-06,2.15E-06,2.04E-06,1.95E-06,1.85E-06,1.76E-06,1.68E-06,1.60E-06,1.52E-06,1.45E-06,1.38E-06,1.32E-06,1.25E-06,1.19E-06,1.14E-06,1.08E-06,1.03E-06,9.80E-07,9.33E-07,8.89E-07,8.46E-07,8.06E-07,7.67E-07
LULUCF Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Geoengineering Sector,5.45E-06,5.19E-06,4.94E-06,4.70E-06,4.48E-06,4.26E-06,4.06E-06,3.86E-06,3.68E-06,3.50E-06,3.34E-06,3.18E-06,3.02E-06,2.88E-06,2.74E-06,2.61E-06,2.49E-06,2.37E-06,2.25E-06,2.15E-06,2.04E-06,1.95E-06,1.85E-06,1.76E-06,1.68E-06,1.60E-06,1.52E-06,1.45E-06,1.38E-06,1.32E-06,1.25E-06,1.19E-06,1.14E-06,1.08E-06,1.03E-06,9.80E-07,9.33E-07,8.89E-07,8.46E-07,8.06E-07,7.67E-07
