Fuel Price ($/BTU),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Transportation Sector,5.66E-06,7.74E-06,8.47E-06,9.36E-06,1.01E-05,1.06E-05,1.08E-05,1.11E-05,1.15E-05,1.18E-05,1.21E-05,1.24E-05,1.26E-05,1.29E-05,1.31E-05,1.32E-05,1.32E-05,1.31E-05,1.33E-05,1.36E-05,1.35E-05,1.39E-05,1.41E-05,1.42E-05,1.44E-05,1.46E-05,1.48E-05,1.50E-05,1.51E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.60E-05,1.61E-05,1.63E-05,1.65E-05,1.66E-05,1.68E-05,1.70E-05,1.72E-05
Electricity Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Residential Buildings Sector,5.66E-06,7.74E-06,7.82E-06,8.37E-06,9.03E-06,9.38E-06,9.60E-06,9.90E-06,1.01E-05,1.02E-05,1.04E-05,1.05E-05,1.06E-05,1.07E-05,1.08E-05,1.08E-05,1.08E-05,1.07E-05,1.08E-05,1.09E-05,1.08E-05,1.10E-05,1.11E-05,1.11E-05,1.12E-05,1.13E-05,1.14E-05,1.15E-05,1.15E-05,1.16E-05,1.17E-05,1.18E-05,1.18E-05,1.19E-05,1.20E-05,1.20E-05,1.21E-05,1.22E-05,1.22E-05,1.23E-05,1.24E-05
Commercial Buildings Sector,5.66E-06,7.74E-06,7.85E-06,7.92E-06,8.13E-06,8.03E-06,7.80E-06,7.65E-06,7.86E-06,7.96E-06,8.08E-06,8.37E-06,8.43E-06,8.57E-06,8.64E-06,8.70E-06,8.62E-06,8.58E-06,8.66E-06,8.76E-06,8.70E-06,8.88E-06,8.95E-06,9.00E-06,9.06E-06,9.16E-06,9.28E-06,9.35E-06,9.40E-06,9.43E-06,9.52E-06,9.62E-06,9.68E-06,9.76E-06,9.84E-06,9.91E-06,9.97E-06,1.00E-05,1.01E-05,1.02E-05,1.03E-05
Industry Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
District Heating Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LULUCF Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Geoengineering Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
