Fuel Price ($/BTU),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Transportation Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Electricity Sector,5.13E-07,5.13E-07,5.34E-07,5.35E-07,5.15E-07,5.06E-07,4.84E-07,4.79E-07,4.74E-07,4.64E-07,4.62E-07,4.61E-07,4.62E-07,4.55E-07,4.51E-07,4.50E-07,4.46E-07,4.44E-07,4.43E-07,4.47E-07,4.46E-07,4.46E-07,4.45E-07,4.44E-07,4.44E-07,4.43E-07,4.42E-07,4.41E-07,4.41E-07,4.38E-07,4.37E-07,4.37E-07,4.36E-07,4.35E-07,4.34E-07,4.33E-07,4.32E-07,4.31E-07,4.30E-07,4.29E-07,4.28E-07
Residential Buildings Sector,4.54E-07,6.77E-07,6.31E-07,6.17E-07,6.06E-07,5.96E-07,5.90E-07,5.84E-07,5.81E-07,5.80E-07,5.81E-07,5.85E-07,5.88E-07,5.90E-07,5.93E-07,5.97E-07,6.01E-07,6.04E-07,6.08E-07,6.11E-07,6.15E-07,6.19E-07,6.23E-07,6.27E-07,6.31E-07,6.34E-07,6.39E-07,6.43E-07,6.48E-07,6.53E-07,6.57E-07,6.61E-07,6.65E-07,6.69E-07,6.74E-07,6.78E-07,6.83E-07,6.87E-07,6.91E-07,6.95E-07,7.00E-07
Commercial Buildings Sector,5.73E-07,8.55E-07,7.98E-07,7.80E-07,7.65E-07,7.53E-07,7.45E-07,7.38E-07,7.34E-07,7.32E-07,7.34E-07,7.39E-07,7.43E-07,7.46E-07,7.49E-07,7.54E-07,7.58E-07,7.63E-07,7.67E-07,7.72E-07,7.77E-07,7.82E-07,7.86E-07,7.91E-07,7.97E-07,8.01E-07,8.08E-07,8.13E-07,8.18E-07,8.24E-07,8.30E-07,8.34E-07,8.40E-07,8.45E-07,8.51E-07,8.56E-07,8.62E-07,8.67E-07,8.73E-07,8.78E-07,8.83E-07
Industry Sector,8.29E-07,1.37E-06,1.28E-06,1.25E-06,1.23E-06,1.21E-06,1.19E-06,1.18E-06,1.18E-06,1.17E-06,1.18E-06,1.18E-06,1.19E-06,1.20E-06,1.20E-06,1.21E-06,1.22E-06,1.22E-06,1.23E-06,1.24E-06,1.25E-06,1.25E-06,1.26E-06,1.27E-06,1.28E-06,1.28E-06,1.29E-06,1.30E-06,1.31E-06,1.32E-06,1.33E-06,1.34E-06,1.35E-06,1.36E-06,1.36E-06,1.37E-06,1.38E-06,1.39E-06,1.40E-06,1.41E-06,1.42E-06
District Heating Sector,5.13E-07,5.13E-07,5.34E-07,5.35E-07,5.15E-07,5.06E-07,4.84E-07,4.79E-07,4.74E-07,4.64E-07,4.62E-07,4.61E-07,4.62E-07,4.55E-07,4.51E-07,4.50E-07,4.46E-07,4.44E-07,4.43E-07,4.47E-07,4.46E-07,4.46E-07,4.45E-07,4.44E-07,4.44E-07,4.43E-07,4.42E-07,4.41E-07,4.41E-07,4.38E-07,4.37E-07,4.37E-07,4.36E-07,4.35E-07,4.34E-07,4.33E-07,4.32E-07,4.31E-07,4.30E-07,4.29E-07,4.28E-07
LULUCF Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Geoengineering Sector,8.29E-07,1.37E-06,1.28E-06,1.25E-06,1.23E-06,1.21E-06,1.19E-06,1.18E-06,1.18E-06,1.17E-06,1.18E-06,1.18E-06,1.19E-06,1.20E-06,1.20E-06,1.21E-06,1.22E-06,1.22E-06,1.23E-06,1.24E-06,1.25E-06,1.25E-06,1.26E-06,1.27E-06,1.28E-06,1.28E-06,1.29E-06,1.30E-06,1.31E-06,1.32E-06,1.33E-06,1.34E-06,1.35E-06,1.36E-06,1.36E-06,1.37E-06,1.38E-06,1.39E-06,1.40E-06,1.41E-06,1.42E-06
