Annual Distance (miles/vehicle),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
LDVs,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55,6517.55
HDVs,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03,59272.03
aircraft,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183,2218.183
rail,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558,336815.1558
ships,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703,694.0703
motorbikes,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22,3728.22
